TITLE,ACTIVE,URL_web,URL_facebook,URL_twitter,URL_youtube,URL_instagram,URL_telegram,URL_tiktok,URL_linkedin,DATE_START_year_offline,DATE_START_year_digital,DATE_START_day_digital,DATE_END_year_digital,DATE_END_day_digital,LOCATION_country,LOCATION_company_address,LOCATION_company_zipcode,LOCATION_town,REACH,NATIVE,PUBLISHER_media_group,PUBLISHER_company_name,PODCAST_offered,PODCAST_native,TOPIC_general_information,TOPIC_special_topic,TOPIC_special_topic_description,OWNERSHIP,DNR,ID_original,lat,lng,REVENUE_specify_other,LANGUAGE_specify_other,createdAt,updatedAt,publishedAt,URL_twitch,URL_whatsapp,platforms,languages,revenues,province,region
8 TV,true,http://www.8tv.cat/,,https://twitter.com/8tvcat,,,,,,,2006,,,,ES,"Avenida Diagonal, 477, 16a planta, 08036 Barcelona",08036,Barcelona,local,false,,Emissions Digitals de Catalunya S.A.U.,false,false,false,Ocio y entretenimiento,Parrilla de series y programas del canal de televisión,private,false,ES_28,41.3925658,2.1458302,,,2022-09-06T09:22:18.106Z,2023-01-27T11:11:07.919Z,2022-09-06T09:22:58.469Z,,,"web, app, tv",catalan,"Advertising, Subsidies (public or private)",Barcelona,Cataluña
9 exili,false,http://www.9exili.com/,https://www.facebook.com/9exili,https://twitter.com/9exili,,,,,,,2013,,,,ES,,,Valencia,local,false,,,,,,,,private,false,ES_30,39.4699075,-0.3762881,,,2022-09-06T09:21:53.572Z,2023-01-27T11:11:27.271Z,2022-09-06T09:22:58.469Z,,,web,valencian,,Valencia/València,Comunitat Valenciana
9 Magazine,true,http://9magazin.el9nou.cat/,https://www.facebook.com/el9nou,https://twitter.com/el9nou,https://www.youtube.com/channel/UCObpBdpXZ2kEqtZh4EQXQrQ,,,,,,2006,,,,ES,"Plaça de la Catedral, 2. Vic.",08500,Vic,local,false,,"PREMSA D´OSONA, S.A.",false,false,true,General,,private,false,ES_31,41.9280192,2.2546755,,,2022-09-06T09:22:29.958Z,2023-01-27T11:11:07.939Z,2022-09-06T09:22:58.469Z,,,"web, tv, print, radio",catalan,"Advertising, Subsidies (public or private)",Barcelona,Cataluña
Acel Obert,true,http://www.acelobert.com/,https://www.facebook.com/RevistaAcelobert,https://twitter.com/Acelobert,https://www.youtube.com/channel/UCQUqe7zDRMyUsfmbn9sfhSg,,,,,,2007,,,,ES,"Industria, 137-141, entl. 1a, esc. esq. - Barcelona 08025",08025,Barcelona,local,false,,,false,false,false,Otros,"Local, comercial, agenda cultural",private,false,ES_52,41.4083076,2.1720423,,,2022-09-06T09:22:23.021Z,2023-01-27T11:11:07.978Z,2022-09-06T09:22:58.469Z,,,"app, print, web, radio","catalan, spanish","Advertising, Consultancy, events and other sources",Barcelona,Cataluña
Actualitat Penal,true,http://actualitatpenal.cat/,https://www.facebook.com/actualitatpenal/,https://twitter.com/actualitatpenal,,,,,,,2016,,,,ES,Tarragona - 43002,43002,Tarragona,national,true,,Ixonemedia S.L.,false,false,true,General,,private,false,ES_62,41.1195195,1.2518029,,,2022-09-06T09:22:05.502Z,2023-01-27T11:11:21.662Z,2022-09-06T09:22:58.469Z,,,web,"catalan, spanish",Advertising,Tarragona,Cataluña
Actualitat Valenciana,true,http://actualitatvalenciana.com/,https://www.facebook.com/ActualitatValenciana/,https://twitter.com/ActValenciana,https://actualitatvalenciana.com/#,https://actualitatvalenciana.com/#,https://t.me/actualitatval,,,,2016,,,,ES,Centro de Negocios Puerta del Sol - Carrer Ruiz Zorrilla 2 - 12001 Castelló de la Plana,12001,Castellón,local,true,,"GRUPO CALAFORRA MEDIA, SL",false,false,true,General,,private,false,ES_63,39.9848572,-0.0394898,,,2022-09-06T09:21:57.656Z,2023-01-27T11:11:26.573Z,2022-09-06T09:22:58.469Z,,,web,valencian,"Advertising, Subsidies (public or private)",Castellón/Castelló,Comunitat Valenciana
Adolescents.cat,true,http://www.adolescents.cat/,https://www.facebook.com/adolescents.cat,https://twitter.com/adolescents_cat,https://www.youtube.com/user/adoelscentstv,https://www.instagram.com/adolescents_cat,,,,,2010,2010-07-01,,,ES,"De la Llotja 9, Vic 08500 (Barcelona)",08500,Barcelona,local,true,,"FEM Produccions ",true,false,false,Otros,"Contenido dirigido a adolescentes: estudios, salud, curiosidades, relaciones, cine, series, música, contenido clickbait",private,false,ES_71,41.925725,2.2465017,,,2022-09-06T09:22:29.744Z,2023-01-27T11:11:07.998Z,2022-09-06T09:22:58.469Z,,,web,catalan,"Advertising, Subsidies (public or private)",Barcelona,Cataluña
Agència Catalana de Notícies,true,http://www.acn.cat/,https://www.facebook.com/agenciaacn,https://twitter.com/agenciaacn,https://www.youtube.com/user/agenciaACN,https://www.instagram.com/agenciaacn/,,,,,1999,,,,ES,"Av. Josep Tarradellas, 20, Planta 2, 08029 Barcelona",08029,Barcelona,local,true,CCMA (Corporació Catalana de Mitjans Audiovisuals),Intracatalònia S.A.,false,false,true,General,,private,false,ES_78,41.3827793,2.1427356,,,2022-09-06T09:22:17.712Z,2023-01-27T11:11:08.040Z,2022-09-06T09:22:58.469Z,,,"web, app",catalan,"Suscription, membership or payment, Advertising",Barcelona,Cataluña
Agencia EFE,true,http://www.efe.com,https://www.facebook.com/AgenciaEFEnoticias,https://twitter.com/efenoticias,http://www.youtube.com/efe,https://www.instagram.com/efefotos/,https://telegram.me/efenoticias,,,1939,1995,,,,ES,"Avenida de Burgos, 8-B - 28036 Madrid.",28036,Madrid,national,false,EFE,"Agencia EFE, S.A.",false,false,true,General,,public,true,ES_79,40.4736123,-3.6748501,,,2022-09-06T09:16:47.513Z,2023-09-06T16:29:44.508Z,2022-09-06T09:22:58.469Z,,,"app, web","portuguese, english, valencian, spanish","Suscription, membership or payment, Advertising",Madrid,Madrid; Comunidad de
Agrocultura,true,http://www.agrocultura.org/,https://www.facebook.com/associaciolera,,,,,,,,2005,,,,ES,"Avenida Universitària, 4-6 08242-Manresa.",08242,,local,false,,"L'Era, Espai de Recursos Agroecològics",false,false,false,Técnicas y profesionales,Agricultura ecológica,private,false,ES_86,41.7365163,1.8253292,,,2022-09-06T09:22:11.222Z,2023-01-27T11:11:08.062Z,2022-09-06T09:22:58.469Z,,,"print, web",catalan,"Suscription, membership or payment, e-Commerce, Advertising",Barcelona,Cataluña
Aguaita,true,http://www.aguaita.cat/,https://www.facebook.com/aguaita.cat,https://twitter.com/aguaitacat,https://www.youtube.com/user/NacioDigitaltv,https://www.instagram.com/naciodigital,https://telegram.me/naciodigital,,,,2012,2012-11-09,,,ES,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",08007,"Baix Ebre, Montsià, Ribera d’Ebre, Terra Alta, Terres de l’Ebre",local,true,,SCG Aquitània SL.,false,false,true,General,,private,false,ES_91,41.3903717,2.1679521,,,2022-09-06T09:22:20.836Z,2023-01-27T11:11:21.681Z,2022-09-06T09:22:58.469Z,,,web,catalan,"Advertising, Subsidies (public or private)",Tarragona,Cataluña
Aixoes Mallorca,false,http://aixoesmallorca.com/,,https://twitter.com/aixoesmallorca,,,,,,,,,,,ES,,,Mallorca,local,true,,Associació de Joves Periodistes,,,,,,,false,ES_109,39.6952629,3.0175712,,,2022-09-06T09:22:37.801Z,2023-01-27T11:10:51.873Z,2022-09-06T09:22:58.469Z,,,web,"catalan, spanish",,Illes Balears,Balears; Illes
Alacant Extra,true,https://alacantextra.com/,https://www.facebook.com/alacantextra/,https://twitter.com/vlcextra,,https://www.instagram.com/valencia_extra/,,,,,2017,,,,ES,"Gaspar Torrella, 1, pta. 19 - Valencia - 46017",46017,Alicante,local,true,,"VALENCIA EXTRA, SL",false,false,true,General,,private,false,ES_114,39.4536311,-0.3928259,,,2022-09-06T09:21:52.638Z,2023-01-27T11:11:24.760Z,2022-09-06T09:22:58.469Z,,,web,"valencian, spanish","Subsidies (public or private), Advertising",Alicante/Alacant,Comunitat Valenciana
Alcaldes,true,http://alcaldes.eu/,https://www.facebook.com/alcaldes.eu,https://twitter.com/alcaldeseu,https://www.youtube.com/channel/UCV8JQH7Oo1TqUb67Qw-JTGA,,,,,,2009,2009-03-30,,,ES,"Passeig de Gràcia, 18 · 08007 Barcelona",08007,Barcelona,local,true,,"Presston Comunicació Internacional, SL",false,false,false,Política,Gobierno municipal en Cataluña,private,false,ES_125,41.3900117,2.1683744,,,2022-09-06T09:22:21.507Z,2023-01-27T11:11:08.083Z,2022-09-06T09:22:58.469Z,,,web,"catalan, spanish","Subsidies (public or private), Advertising",Barcelona,Cataluña
Aldia.cat,true,http://www.aldia.cat/,https://www.facebook.com/aldiacat.ep,https://twitter.com/AlDiaCat,,,,,,,2006,2006-01-01,,,ES,"Paseo de la Castellana, 210 - Madrid",28046,Barcelona,local,true,Europa Press,Europa Press Noticias S.A.,false,false,true,General,,private,false,ES_133,40.4632631,-3.6889552,,,2022-09-06T09:16:43.177Z,2023-01-27T11:11:08.106Z,2022-09-06T09:22:58.469Z,,,web,catalan,"Advertising, Subsidies (public or private)",Barcelona,Cataluña
Alicante Plaza,true,https://alicanteplaza.es/,https://www.facebook.com/alicanteplaza,https://twitter.com/alicanteplaza,https://www.youtube.com/channel/UCA4tY-ELHQds6R7vytehD-A,,,,,,2016,2016-10-06,,,ES," Roger de Lauria, 19 4 A - Valencia 46002",46002,Alicante,local,true,,Ediciones Plaza SL,false,false,true,General,,private,false,ES_144,39.4694281,-0.3732906,,,2022-09-06T09:21:54.173Z,2023-01-27T11:11:24.851Z,2022-09-06T09:22:58.469Z,,,"web, app","spanish, valencian","Advertising, Suscription, membership or payment",Alicante/Alacant,Comunitat Valenciana
Alpicat Ràdio,true,http://www.alpicatradio.com/,https://www.facebook.com/alpicatradio,https://twitter.com/alpicatradio,https://www.youtube.com/channel/UC663Egl_b-siSiYe-S10lNg,https://www.instagram.com/alpicatradio/,,,,,2000,,,,ES,"Farraginals 1, d'Alpicat (Lleida).",25110,Alpicat,local,false,,,true,false,true,General,,unknown,false,ES_156,41.6662463,0.5576455,,,2022-09-06T09:22:00.111Z,2023-01-27T11:11:20.548Z,2022-09-06T09:22:58.469Z,,,"radio, web, app",catalan,,Lleida,Cataluña
Altafulla Ràdio,true,http://www.altafullaradio.cat/,https://www.facebook.com/altafulla.radio,https://twitter.com/AltafullaRadio,https://www.youtube.com/channel/UCzN4QJJTXLBBBpSAQBN_AFQ,,,,,,2013,,,,ES,"Marquès de Tamarit, 16. Baixos, local E - 43893 Altafulla, Tarragona",43893,Altafulla,local,false,,,true,false,true,General,,public,false,ES_158,41.1398,1.37474,,,2022-09-06T09:22:06.720Z,2023-01-27T11:11:21.701Z,2022-09-06T09:22:58.469Z,,,"web, app, print, radio","catalan, english",,Tarragona,Cataluña
Altanto!!,false,http://www.altanto.cat/,https://www.facebook.com/altantorevista,https://twitter.com/altantosegria,,,,,,,,,,,ES,"Travessia Sant Bartomeu, 2 Esc3 1 3 - 25110 Alpicat - Lleida",25110,Alpicat,local,true,,,,,,,,,false,ES_160,41.668521,0.55438,,,2022-09-06T09:22:00.013Z,2023-01-27T11:11:20.564Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Lleida,Cataluña
Alzira Ràdio,true,http://www.alziraradio.com/,https://www.facebook.com/alziraradio,https://twitter.com/alziraradio,,https://www.instagram.com/alziraradio/,,,,,2004,,,,ES,"Escoles Pies 4, 2n pis.",46600,Alzira,local,false,,,true,false,true,General,,private,false,ES_163,39.1507662,-0.4361536,,,2022-09-06T09:21:51.811Z,2023-01-27T11:11:27.465Z,2022-09-06T09:22:58.469Z,,,"radio, web",valencian,Subsidies (public or private),Valencia/València,Comunitat Valenciana
aMartorell.com,true,http://www.amartorell.com/,,https://twitter.com/AjuntaMartorell,,,,,,,2005,2005-09-27,,2020-10-13,ES,"Avinguda Catalunya 60, 08783 Masquefa, Barcelona",08783,Martorell,local,true,,aTotArreu.com,false,false,,,,private,false,ES_164,41.5006477,1.814503,,,2022-09-06T09:22:10.660Z,2024-03-03T18:42:00.942Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Barcelona,Cataluña
aMasquefa,false,http://www.amasquefa.com/,,https://twitter.com/AjMasquefa,,,,,,,2007,2007-02-27,2020,2020-08-12,ES,"Avinguda Catalunya, 60 - 08783 Masquefa (Barcelona)",08783,Masquefa,local,true,,"aTotArreu, SL",false,false,,,,private,false,ES_165,41.5006477,1.814503,,,2022-09-06T09:22:10.728Z,2023-01-27T11:11:08.210Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Barcelona,Cataluña
Amposta Ràdio,true,http://www.amposta.cat/Radio/,https://www.facebook.com/AmpostaRadio,https://twitter.com/RadioAmposta,,,,,,,2006,,,,ES,Palau i Quer (Exterior de l'edifici del Mercat Municipal) - 43870 Amposta,43870,Amposta,local,false,,,true,false,true,General,,public,false,ES_169,40.7067997,0.5801695,,,2022-09-06T09:22:00.204Z,2023-01-27T11:11:21.717Z,2022-09-06T09:22:58.469Z,,,"print, web, radio",catalan,,Tarragona,Cataluña
Anoia Diari,true,http://anoiadiari.cat/,https://www.facebook.com/Anoiadiari.cat,https://twitter.com/anoiadiari,https://www.youtube.com/channel/UCtkIL8gJoMF9Qc8fpNMR9Lw,,https://t.me/anoiadiari,,,,2008,2008-10-01,,,ES,"Carrer del Rec, 15, 08700 Igualada, Barcelona",08700,Anoia,local,true,,Cinquanta-set SL,false,false,true,General,,private,false,ES_185,41.5766221,1.6126029,,,2022-09-06T09:22:08.864Z,2023-01-27T11:11:08.251Z,2022-09-06T09:22:58.469Z,,,web,catalan,"Advertising, Subsidies (public or private)",Barcelona,Cataluña
Antena Aldaia,true,http://www.antenaaldaia.com,https://www.facebook.com/antenaaldaia,https://twitter.com/AntenaAldaia,,,,,,,2001,,,,ES,,46960,Aldaia,local,false,,,true,false,false,Otros,Promoción de los contenidos musicales de la emisora de radio,private,false,ES_188,39.4595217,-0.4927134,,,2022-09-06T09:21:50.148Z,2023-01-27T11:11:27.503Z,2022-09-06T09:22:58.469Z,,,"app, radio, web",valencian,"Advertising, Subsidies (public or private)",Valencia/València,Comunitat Valenciana
Antena Caro,true,http://antenacaro.cat/,https://www.facebook.com/Roquetes-Comunicaci%C3%B3-Antena-Caro-230861036927994/,https://twitter.com/AntenaCaro,https://www.youtube.com/user/AntenaCaro,https://www.instagram.com/roquetescomunicacio/,,,,,2006,,,,ES,"Urbanització Torre de Gil, Centre Cívic, Roquetes",43520,Roquetes,local,false,,,true,false,true,General,,public,false,ES_189,40.8198735,0.5009781,,,2022-09-06T09:21:59.484Z,2023-01-27T11:11:21.733Z,2022-09-06T09:22:58.469Z,,,"radio, print, web",catalan,"Advertising, Subsidies (public or private)",Tarragona,Cataluña
Antena Catalana,false,http://www.antenacatalana.net/,https://www.facebook.com/antenacatalana,https://twitter.com/antenacatalana,,,,,,,2016,,,,ES,,,Barcelona,local,true,,Ràdio Studi 92 i Antena Catalana Ràdio,,,,,,private,false,ES_190,41.3873974,2.168568,,,2022-09-06T09:22:21.674Z,2023-01-27T11:11:08.270Z,2022-09-06T09:22:58.469Z,,,web,catalan,,Barcelona,Cataluña
A Olesa,true,http://www.aolesa.com/,,https://twitter.com/AjuntamentOlesa,,,,,,,2007,2007-04-30,,,ES,"Avinguda Catalunya, 60 - 08783 Masquefa (Barcelona)",08783,Olesa de Montserrat,local,true,ATotArreu,"aTotArreu, SL",false,false,true,General,,private,false,ES_39,41.5006477,1.814503,,,2022-09-06T09:22:10.576Z,2023-01-27T11:11:07.960Z,2022-09-06T09:22:58.469Z,,,"web, app",catalan,Advertising,Barcelona,Cataluña
À Punt,true,https://apuntmedia.es,https://www.facebook.com/apuntmedia/,https://twitter.com/apunt_media,https://www.youtube.com/channel/UC06jp6UgU3rzTNpuBk0OebQ,https://www.instagram.com/apunt_media/,https://t.me/apunt_media,,,,2018,,,,ES,"Ctra. del Polígon d'accés a Ademús, s/n. 46100 Burjassot - Valencia",46100,Burjassot,local,true,CVMC (Corporació Valenciana de Mitjans de Comunicació),Corporació Valenciana de Mitjans de Comunicació (CVMC),true,false,true,General,,public,false,ES_41,39.4782096,-0.3905457,,,2022-09-06T09:21:52.839Z,2023-01-27T11:11:27.347Z,2022-09-06T09:22:58.469Z,,,"app, web, tv, radio","english, valencian",Advertising,Valencia/València,Comunitat Valenciana
Aquí Berguedà,true,http://www.aquibergueda.cat/,https://www.facebook.com/AquiBergueda,https://twitter.com/AquiBergueda,http://www.youtube.com/AquiBergueda/,,,,,,2014,,,,ES,Carrer Bruc 3 08600 Berga,08600,Berguedà,local,false,,"Bifidus Productions ",true,true,true,General,Tecnología-Usuarios de aplicaciones móviles,private,false,ES_197,42.0982146,1.840687,,,2022-09-06T09:22:11.300Z,2023-01-27T11:11:08.291Z,2022-09-06T09:22:58.469Z,,,"print, app, radio, web",catalan,"Subsidies (public or private), Advertising",Barcelona,Cataluña
Ara,true,http://www.ara.cat/,https://www.facebook.com/diariARA,https://twitter.com/diariARA,https://www.youtube.com/c/aracat,https://www.instagram.com/diariara,https://t.me/diariara,,,2010,2010,2010-11-28,,,ES,"Diputació 119 de Barcelona, 08015",08015,,local,false,,Edició de Premsa Periòdica Ara SL,true,true,true,General,,private,false,ES_205,41.3827046,2.156459,,,2022-09-06T09:22:19.238Z,2023-01-27T11:11:08.312Z,2022-09-06T09:22:58.469Z,,,"print, app, web",catalan,"Advertising, Suscription, membership or payment, Subsidies (public or private), e-Commerce, Branded content",Barcelona,Cataluña
Ara Balears,true,http://www.arabalears.cat/,https://www.facebook.com/AraBalears,https://twitter.com/ARAbalears,https://www.youtube.com/channel/UC82F97Zgpt5nQgpaKAL68vg,https://www.instagram.com/arabalears,https://www.arabalears.cat/,,,,2012,,,,ES,"Tous i Maroto, 8, 1r, de Palma de Mallorca, 07001",07001,,local,false,,EDICIONS PERIODIQUES ARA-BALEARS SL,false,false,true,General,,private,false,ES_206,39.5698683,2.6480444,,,2022-09-06T09:22:33.386Z,2023-01-27T11:10:51.915Z,2022-09-06T09:22:58.469Z,,,"web, print, app",catalan,"Branded content, Suscription, membership or payment, Advertising, Subsidies (public or private)",Illes Balears,Balears; Illes
Ara Granollers,false,http://www.aragranollers.cat/,https://www.facebook.com/AraGranollers,https://twitter.com/aragranollers,,,,,,,2021,,2023,,ES,"Rambla Pompeu Fabra, 32 - 08100 Mollet del Vallès (Barcelona)",08100,Granollers,local,false,Contrapunt,"CONTRAPUNT, SCCL",false,false,true,General,,private,false,ES_207,41.540286,2.2187857,,,2022-09-06T09:22:27.848Z,2024-01-15T07:48:26.141Z,2022-09-06T09:22:58.469Z,,,"web, print",catalan,"Advertising, Subsidies (public or private)",Barcelona,Cataluña
Aramultimèdia,true,https://www.aramultimedia.com/,https://www.facebook.com/aramultimediaweb/,https://twitter.com/aramultimedia,,https://www.instagram.com/aramultimedia/,,,,,2018,,,,ES,"Sant Francesc,11 - 03801 Alcoy/Alcoi, Alicante/Alacant",03801,Alcoy,local,true,,"L & LL Media, S.L.",false,,,,,private,false,,38.69714404085261,-0.47422291976327163,,,2023-07-11T18:25:40.049Z,2023-07-11T18:28:25.684Z,2023-07-11T18:25:47.169Z,,,web,valencian,"Advertising, Subsidies (public or private)",Alicante/Alacant,Comunitat Valenciana
Ara Vallès,false,http://www.aravalles.cat/,https://www.facebook.com/aravalles.cat,https://twitter.com/aravalles,,,,,,,2021,,2023,,ES,"Rambla Pompeu Fabra, 32 - 08100 Mollet del Vallès (Barcelona)",08100,"Vallès Occidental, Vallès Oriental",local,false,Contrapunt,"CONTRAPUNT, SCCL",false,false,true,General,,private,false,ES_209,41.540286,2.2187857,,,2022-09-06T09:22:27.990Z,2024-01-15T07:49:22.667Z,2022-09-06T09:22:58.469Z,,,"print, web",catalan,"Advertising, Subsidies (public or private)",Barcelona,Cataluña
Audiovisual Cabrera,true,http://audiovisualcabrera.net/,https://www.facebook.com/radiocabrera.demar,https://twitter.com/radiocabreramar,https://www.youtube.com/channel/UCMDLhdNEaZsSYZaXt7fm3rg,,,,,,2003,,,,ES,"Camí de Can Segarra, 40 - (Can Bartomeu) - 08349 Cabrera de Mar",08349,Cabrera de Mar,local,false,,Col·lectiu de Mitjans Audiovisuals de Cabrera de Mar,true,false,false,Otros,Música,private,false,ES_268,41.5310081,2.3912172,Consultoría,,2022-09-06T09:22:31.427Z,2023-01-27T11:11:08.410Z,2022-09-06T09:22:58.469Z,,,"radio, tv, web",catalan,"Advertising, Consultancy, events and other sources",Barcelona,Cataluña
Avenç El Palau,true,http://avensdelpalau.cat/,https://www.facebook.com/avenc.delpalau,https://twitter.com/avensdelpalau,https://www.youtube.com/channel/UCp6F3aWB5e83JHyE8CmKdDA,https://www.instagram.com/avensdelpalau,,,,,2013,,,,ES,"Sant Josep , 1 - El Palau d'Anglesola - El Pla d'Urgell",25243,Palau D’Anglesola,local,false,,AGRUPACIÓ CULTURAL TOTS SOM DE CASA,false,false,true,General,,,false,ES_283,41.6516556,0.880828,,,2022-09-06T09:22:01.865Z,2023-01-27T11:11:20.608Z,2022-09-06T09:22:58.469Z,,,"print, web",catalan,"Subsidies (public or private), Suscription, membership or payment, Advertising",Lleida,Cataluña
Badalona Comunicació,true,https://www.bdncom.cat/,https://es-la.facebook.com/pages/Badalona-Comunicaci%C3%B3/297701500331963,https://twitter.com/bdncom,https://www.youtube.com/channel/UC43fHpoyvoN47yixTHUfv6g,,,,,,2016,,,,ES,"Sant Agustí 11, 08915 Badalona (Barcelona)",08915,Badalona,local,false,,Badalona Comunicació,true,false,true,General,,private,false,ES_302,41.4591172,2.2493867,,,2022-09-06T09:22:29.790Z,2023-01-27T11:11:08.452Z,2022-09-06T09:22:58.469Z,,,"app, tv, web",catalan,Advertising,Barcelona,Cataluña
Badanotis,false,http://www.badanotis.com/,https://www.facebook.com/badanotis,https://twitter.com/bdnotis/,https://www.youtube.com/user/badanotis,http://instagram.com/badanotis/,,,,,2009,,2023,,ES,,,Badalona,local,true,,,false,false,true,General,,private,false,ES_303,41.446964,2.2449607,,,2022-09-06T09:22:29.705Z,2024-01-15T07:53:53.660Z,2022-09-06T09:22:58.469Z,,,web,"spanish, catalan",Advertising,Barcelona,Cataluña
