media,area_of_influence,ojd,url,CCAA,PROV,AREA,platform,PGD,distribution,Origin,active_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber,type_media_cac,address_cac,lat_cac,lng_cac,zipcode_cac,classification_ojd,sub_classification_ojd,unique_visitors_ojd
la veu de l'anoia,Anoia,,,CAT,BCN,CC,papel,,Anoia: Igualada,"AMIC, Iberfier",True,Retir 40 – 08700 – IGUALADA (Barcelona),8700,41.580166,1.6158579,web,Barcelona,CAT,,,,,,,,
montpeità,Bages,,,CAT,BCN,CC,papel,,"Bages: Sant Fruitós, Navarcles i Manresa","AMIC, Iberfier",True,"Sant Benet, 8 - Sant Fruitós de Bages, 08272 - Barcelona",8272,41.7508239,1.8714061,"print, web",Barcelona,CAT,,,,,,,,
regió 7,,,,CAT,BCN,CC,papel,,,"AMIC, Iberfier",True,"Sant Antoni M. Claret, 32 - 08240 Manresa (Barcelona)",8240,41.7313145,1.8336049,"print, web, app",Barcelona,CAT,,,,,,,,
revista cambrils,Baix Camp,,,CAT,TGN,C.TGN,papel,,Baix Camp: Cambrils,"AMIC, Iberfier",True,"C. de Sant Plàcid, 7, baixos. 43850 Cambrils",43850,41.0738155,1.0528809,web,Tarragona,CAT,,,,,,,,
sa veu,Mallorca (Serra de Tramuntana),,,IB,MALL,,papel,,"Mallorca (Serra de Tramuntana): Sóller, Fornalutx, Deià, Escorca i Bunyola.","AMIC, Iberfier",True,"Sa Filadora A, 3, baixos - 07100 Sóller - Illes Balears",7100,39.7703664,2.7096129,"web, print",Illes Balears,IB,,,,,,,,
eldiari,Castelló,,eldiari.online,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
campingscat,Catalunya,OJD,campingscat.com,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
Catalunyareligio,Catalunya,OJD,Catalunyareligio.cat  ,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
sapsque,"Badalona, Barcelonès",no OJD,sapsque.com,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
laveudalginet,València,,laveudalginet.es,PV,PV,V,digital,,,AMIC,,,,,,,,,,,,,,,,
escenacultural,,,escenacultural.net,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
diaridebenicassim,Castelló,,diaridebenicassim.com,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
areavisual,Catalunya,no OJD,areavisual.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
gentedelasafor,Pais Valencià,,gentedelasafor.es,PV,PV,V,digital,,,AMIC,,,,,,,,,,,,,,,,
media,Catalunya,no OJD,media.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
Núvol,Catalunya,OJD,Núvol.com,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
frontissa,Catalunya,no OJD,frontissa.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
culturalia,Andorra i pirineus,,culturalia.club,AD,AND,,digital,,,AMIC,,,,,,,,,,,,,,,,
festescatalunya,Catalunya,no OJD,festescatalunya.com,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
culturaipaisatge,Comarques de Tarragona i Urgell,no OJD,culturaipaisatge.cat ,CAT,T,,digital,,,AMIC,,,,,,,,,,,,,,,,
tempsarts,Pais Valencià,,tempsarts.cat,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
verlanga,Pais Valencià,,verlanga.com,PV,PV,V,digital,,,AMIC,,,,,,,,,,,,,,,,
elculturista,Barcelona Ciutat,no OJD,elculturista.cat,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
diaridelallengua,Catalunya,no OJD,diaridelallengua.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
aboriginemag,Catalunya,no OJD,aboriginemag.com,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
inediteducacion,Catalunya,no OJD,inediteducacion.com ( ineditweb.es),CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
vadevi,Catalunya,OJD,vadevi.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
valledeelda,Pais Valencià,,valledeelda.com,PV,AL,,digital,,,AMIC,,,,,,,,,,,,,,,,
carrerlliure,Catalunya,no OJD,carrerlliure.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
canalte24,Tarragona i terres de l'Ebre,no OJD,canalte24.cat ,CAT,T,,digital,,,AMIC,,,,,,,,,,,,,,,,
esportsradio,Catalunya (radio),no OJD,esportsradio.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
larepublicaesportiva,Catalunya,OJD,larepublicaesportiva.cat ,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
mon,Catalunya,OJD,mon,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
esportbalear,Balears,,esportbalear.es,IB,IB,,digital,,,AMIC,,,,,,,,,,,,,,,,
esportandreuenc,"Sant Andreu, Barcelona (radio)",no OJD,esportandreuenc.cat,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
lapositiva,Catalunya,no OJD,lapositiva.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
elgourmetcatala,Catalunya,no OJD,elgourmetcatala.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
foodiesonmenorca,"Menorca, Illes Balears i territoris de parla catalana",,foodiesonmenorca.com,IB,IB,me,digital,,,AMIC,,,,,,,,,,,,,,,,
vadegust, paisos catalans ,OJD,vadegust.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
balearsvadegust,Balears i paisos catalans ,,balearsvadegust.cat,IB,IB,,digital,,,AMIC,,,,,,,,,,,,,,,,
hibridosyelectricos,"Nacional, Catalunya",OJD,hibridosyelectricos.com(publico.es),CAT,ESCAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
metadata,Catalunya,no OJD,metadata.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
blanquinegres,Pais Valencià,,blanquinegres.com,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
Junior-report,Catalunya,OJD,Junior-report.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
saplaca,Mallorca,,saplaca.cat,IB,IB,ma,digital,,,AMIC,,,,,,,,,,,,,,,,
totpla,Pla de Mallorca,,totpla.cat,IB,IB,mi.,digital,,,AMIC,,,,,,,,,,,,,,,,
la-clau,Catalunya i Cat nord,OJD,la-clau.net,CAT,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
onadigital,"Catalunya,Vic (radio)",no OJD,onadigital.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
sermaestrat,Pais Valencià,,sermaestrat.com,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
somgandia,València,,somgandia.com ,PV,PV,V,digital,,,AMIC,,,,,,,,,,,,,,,,
somsafor,València,,somsafor.com,PV,PV,V,digital,,,AMIC,,,,,,,,,,,,,,,,
radiojove,"Catalunya,Vic (radio)",no OJD,radiojove.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
baixcampradio,Baixcamp,OJD,baixcampradio.com,CAT,T,,digital,,,AMIC,,,,,,,,,,,,,,,,
empordà,Empordà,OJD,empordà.info,CAT,G,,digital,,,AMIC,,,,,,,,,,,,,,,,
líniaciutatvella,Barcelonès,OJD,líniaciutatvella.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
liniacornella,Baix Llobregat,OJD,liniacornella.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniaeixample,Barcelonès,OJD,líniaeixample.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniagracia,Barcelonès,OJD,líniagracia.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniahorta,Barcelonès,OJD,líniahorta.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
liniahospitalet,Barcelonès,OJD,liniahospitalet.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
línialescorts,Barcelonès,OJD,línialescorts.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
liniamar,Baix Llobregat,OJD,liniamar.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
línianord,"Badalona, Barcelonès",OJD,línianord.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
línianoubarris,Barcelonès,OJD,línianoubarris.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
liniarambla,Barcelonès,OJD,liniarambla.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniasantandreu,Barcelonès,OJD,líniasantandreu.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniasantmarti,Barcelonès,OJD,líniasantmarti.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniasants,Barcelonès,OJD,líniasants.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniasarria,Barcelonès,OJD,líniasarria.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
liniatres,Baix Llobregat,OJD,liniatres.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
líniavalles,Vallès Oriental,OJD,líniavalles.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
sommontmeló,"Vallès Oriental, Montmeló",OJD,sommontmeló.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
sommontornès,"Vallès Oriental, Montornés",OJD,sommontornès.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
Territoris,"Pla d'Ugell i Garrigues, Noguera, Pirineus, Segarra, Segrià i Urgell",OJD,Territoris.cat,CAT,L,,digital,,,AMIC,,,,,,,,,,,,,,,,
Viumolinsderei,Baix Llobregat,OJD,Viumolinsderei.com,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
Viurealspirineus,Pirineus,OJD,Viurealspirineus.cat,CAT,L,pi,digital,,,AMIC,,,,,,,,,,,,,,,,
andreuenc,Barcelona,no OJD,andreuenc.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
apropebre,Terres de l'Ebre,no OJD,apropebre.cat,CAT,T,,digital,,,AMIC,,,,,,,,,,,,,,,,
calderi,"Caldes de Montbui, Vallès Oriental",no OJD,calderi.cat,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
canalbaixpenedes,Baix Penedés,no OJD,canalbaixpenedes.cat,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
castelldefels,Castelldefels i Baix Llobregat,no OJD,castelldefels.digital,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
districte7,"Barcelona, L'hospitalet del llobregat",no OJD,districte7.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
ebreactiu,"Terres de l’Ebre, Priorat, Baix Maestrat i Matarranya",no OJD,ebreactiu.cat,CAT,T,,digital,,,AMIC,,,,,,,,,,,,,,,,
el3,sants montjuich,no OJD,el3.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
elmirall,Sta Coloma de Gramanet,no OJD,elmirall.net,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
elmonic,"Torredembarra, Baix Gaià (Tarragonès Nord)",no OJD,elmonic.cat,CAT,T,,digital,,,AMIC,,,,,,,,,,,,,,,,
elpoll,"Llagostera, Gironès",no OJD,elpoll.tv,CAT,GI,,digital,,,AMIC,,,,,,,,,,,,,,,,
eltotbadalona,"Badalona, Barcelonès",no OJD,eltotbadalona.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
esplugues,Esplugues,no OJD,esplugues.digital,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
jornalet,"Vall d'Aran, occitània ",no OJD,jornalet.com,CAT,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
laguait,La Bisbal i Empordà,no OJD,laguait.cat,CAT,G,,digital,,,AMIC,,,,,,,,,,,,,,,,
lamarina,"Barcelonès, la marina, Sants, Montjuic",no OJD,lamarina.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
lapremsamagazine,"Barcelonès, Castelldefels, Baix Llobregat",no OJD,lapremsamagazine.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
larella,"Osona, Barcelona",no OJD,larella.cat,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
lasemaineduroussillon,"Pyrénées-Orientales, Rosselló",no OJD,lasemaineduroussillon.com,CAT,GNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
lecositges,"sitges, Sant Pere de Ribes, Garraf",no OJD,lecositges.cat,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
lleida24,Lleida,no OJD,lleida24.cat,CAT,L,,digital,,,AMIC,,,,,,,,,,,,,,,,
madeinperpignan,Perpinyà,no OJD,madeinperpignan.com,CAT,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
marina360,La Selva maritima i alt Maresme,no OJD,marina360.cat ,CAT,B,,digital,,,AMIC,,,,,,,,,,,,,,,,
martorelltv,"Martorell, Baix Llobregat",no OJD,martorelltv.com,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
radioarrels,"Cataluny Nord, Perpinya",no OJD,radioarrels.cat,CAT,GNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
radiositges,Garraf i Alt - Baix Penedès,no OJD,radiositges.com,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
revistagroc,La Noguera,no OJD,revistagroc.com ,CAT,L,,digital,,,AMIC,,,,,,,,,,,,,,,,
ripolletaldia,"Ripollet, V.Occ",no OJD,ripolletaldia.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
Santandreutv,"Baix llobregat,Sant Andreu de la Barca, Abrera, Corbera, Pallejà, Collbató, Esparraguera, Martorell, Olesa, Sant Esteve Sesrovires i Castellví de Rosanes",no OJD,Santandreutv.com,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
sitgesactiu,"Sitges, Barcelona, Sant Pere de Ribes i Vilanova i la G.",no OJD,sitgesactiu.com,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
teleponent,"Lleida, Garrigues, Noguera, Pirineu, Pla d’Urgell, Segarra, Segrià, Solsonès i Urgell",no OJD,teleponent.cat,CAT,L,,digital,,,AMIC,,,,,,,,,,,,,,,,
tot-hospitalet,"L'Hospitalet,Barcelona",no OJD,tot-hospitalet.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
vilapress,"Baix Llobregat, Hospitalet i Bcn(cast) ",no OJD,vilapress.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
zonasec,"zonaFranca , Montjuic, Poble sec Barcelona",no OJD,zonasec.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
aabrera,Baix Llobregat,no OJD,aabrera.com,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
aesparraguera,Baix Llobregat,no OJD,aesparraguera.com,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
madeinperpignan,Perpinyà,,madeinperpignan.com,CAT NORD,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
lasemaineduroussillon,"Pyrénées-Orientales, Rosselló",,lasemaineduroussillon.com,CAT NORD,GNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
radioarrels,"Cataluny Nord, Perpinya",,radioarrels.cat,CAT NORD,GNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
jornalet,"Vall d'Aran, occitània ",,jornalet.com,CAT NORD,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
puntinformatiu,Pollença,,puntinformatiu.cat,IB,IB,ma,digital,,,AMIC,,,,,,,,,,,,,,,,
canalajuntament,Catalunya,no OJD,canalajuntament.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
laradiodelsnens,"Catalunya,Vic (radio)",no OJD,laradiodelsnens.cat ,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
revistahiperbolic,Balears,,revistahiperbolic.com,IB,IB,,digital,,,AMIC,,,,,,,,,,,,,,,,
ahoramarinabaixa,Pais Valencià,,ahoramarinabaixa.es,PV,PV,V,digital,,,AMIC,,,,,,,,,,,,,,,,
paris-barcelona,Catalunya  i França,no OJD,paris-barcelona.com,CAT,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
suasesport,València,,suasesport.com,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
onacatradio,Catalunya,no OJD,onacatradio.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
parlant-de-detalls,Catalunya,no OJD,parlant-de-detalls.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
saltramusica,Balears i paisos catalans ,,saltramusica.cat,IB,IB,,digital,,,AMIC,,,,,,,,,,,,,,,,
latraca,Pais Valencià,,latraca.net,PV,PV,cast,digital,,,AMIC,,,,,,,,,,,,,,,,
criar,Catalunya,OJD,criar.cat (grup naciodigital),CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
qualsevolnit,Barcelona,no OJD,qualsevolnit.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
laveudalgemesi,València,,laveudalgemesi.es,PV,PV,V,digital,,,AMIC,,,,,,,,,,,,,,,,
formularapida,Catalunya,no OJD,formularapida.net,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
barcelonaalemany,Catalunya  (en alemany),no OJD,barcelonaalemany.com,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
Lesmuntanyes,Pais Valencià,,Lesmuntanyes.com,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
revistaglobalclub,Catalunya,no OJD,revistaglobalclub.es,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
equinoxmagazine,Catalunya nord i Espanya,no OJD,equinoxmagazine.fr,CAT,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
equinoxmagazine,Catalunya nord i Espanya,,equinoxmagazine.fr,CAT NORD,CATNORD,,digital,,,AMIC,,,,,,,,,,,,,,,,
diacritic,Catalunya,no OJD,diacritic.cat (fotlipou.com),CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
ludica,Catalunya i Barcelona,no OJD,ludica.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
radiolavallduixo,Pais Valencià,,radiolavallduixo.com,PV,PV,cast,digital,,,AMIC,,,,,,,,,,,,,,,,
aquicatalunha,,no OJD,aquicatalunha.com.br,CAT,CAT,BrasiliPortugal,digital,,,AMIC,,,,,,,,,,,,,,,,
spacelaw,"Internacional, Catalunya",no OJD,spacelaw.net   NO PUBLI,CAT,CAT,"enAnglès,MUNDIAL",digital,,,AMIC,,,,,,,,,,,,,,,,
Social,Catalunya,OJD,Social.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
tresdeu,Pais Valencià i Paisos Catalans ,,tresdeu.com,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
suhecapuntcom,Sueca,,suhecapuntcom.com,PV,PV,,digital,,,AMIC,,,,,,,,,,,,,,,,
fulldenginyeria,Catalunya,no OJD,fulldenginyeria.cat,CAT,CAT,,digital,,,AMIC,,,,,,,,,,,,,,,,
portada,Pais Valencià,,portada.info,PV,AL,Al,digital,,,AMIC,,,,,,,,,,,,,,,,
fetasantfeliu,Sant Feliu del Llobregat,no OJD,fetasantfeliu.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
elsbruguersdigital,Gava,no OJD,elsbruguersdigital.cat,CAT,B,amb,digital,,,AMIC,,,,,,,,,,,,,,,,
centpercent,Manacor,,centpercent.cat,IB,IB,ma,digital,,,AMIC,,,,,,,,,,,,,,,,
mallorcactual,Illes Balears,,mallorcactual.com,IB,IB,ma,digital,,,AMIC,,,,,,,,,,,,,,,,
manacorcomarcal,Manacor i comarca,,manacorcomarcal.com,IB,IB,ma,digital,,,AMIC,,,,,,,,,,,,,,,,
menorcadiario,Menorca,,menorcadiario.es,IB,IB,me,digital,,,AMIC,,,,,,,,,,,,,,,,
onamediterrania,Illes Balears,,onamediterrania.cat ,IB,IB,,digital,,,AMIC,,,,,,,,,,,,,,,,
Periodicodeibiza,Eivissa i Formentera,,Periodicodeibiza.es ,IB,IB,eiv,digital,,,AMIC,,,,,,,,,,,,,,,,
sompollença,"Mallorca, Pollença",,sompollença.cat,IB,IB,ma,digital,,,AMIC,,,,,,,,,,,,,,,,
forum,Andorra,,forum.ad,AD,AND,,digital,,,AMIC,,,,,,,,,,,,,,,,
bondia,"Andorra, Espanya,França",,bondia.ad,AD,AND,,digital,,,AMIC,,,,,,,,,,,,,,,,
laciutat ,IP Andorra,,laciutat ,AD,AND,,digital,,,AMIC,,,,,,,,,,,,,,,,
20 minutos barcelona,Barcelonès ,,,CAT,BCN,AMB,papel,Mitjans amb PGD,,AMIC,,,,,,,,,,,,,,,,
capgròs mataró i maresme,Maresme,,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Maresme: Mataró i rodalies, Vilassar de Mar, Cabrera, Argentona, Sant Andreu de Llavaneres, Sant Vicenç de Montalt, Caldes d’Estrac i Arenys de Mar",AMIC,,,,,,,,,,,,,,,,
el nostre banyeres,Comunitat Valenciana,,,PV,AL,,papel,NO PGD,Banyeres de Mariola,AMIC,,,,,,,,,,,,,,,,
diari més tarragona reus i costa daurada,"Tarragonès, Baix Camp, Alt Camp, Baix Penedès",,,CAT,TGN,C.TGN,papel,Mitjans amb PGD,"Tarragonès: Tarragona ciutat i barris, La Canonja (Tarragona), Vila-seca i La Pineda, Altafulla, Torredembarra, Constantí, La Pobla de Mafumet, El Morell,  Polígons Petroquímics,  Salou,  Roda de Berà, Vilallonga i Riera de Gaià. Baix Camp: Reus i barris, Riudoms, Cambrils i La Selva del Camp. Alt Camp: Valls i Alcover. Baix Penedès: El Vendrell i Calafell.",AMIC,,,,,,,,,,,,,,,,
el mirall.net,Barcelonès,,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Sta. Coloma de Gramenet,AMIC,,,,,,,,,,,,,,,,
el nou de l'empordà,Baix Empordà,,,CAT,GI,,papel,Mitjans amb PGD,"Baix Empordà: Palafrugell, Calella de Palafrugell (Palafrugell), Llafranc (Palafrugell), Tamariu (Palafrugell), Regencós, Begur, Pals, Fontanilles, Gualta, Torroella de Montgrí, Parlavà, La Bisbal d’Empordà, Corçà, Verges, Mont-ras Palamós, Calonge, St. Antoni de Calonge, Castell-Platja d’Aro, Sant Feliu de Guíxols.",AMIC,,,,,,,,,,,,,,,,
els colors del pla de l'estany,El Pla de l'Estany,,,CAT,GI,,papel,Mitjans amb PGD,"El Pla de l'Estany: Banyoles, Cornellà del Terri, Sant Miquel de Campmajor, Esponellà, Fontcoberta, Mata (Porqueres), Porqueres, Serinyà, Crespià, Camós, Vilademuls, Palol de Revardit. Garrotxa: Besalú, Mieres.",AMIC,,,,,,,,,,,,,,,,
freqüència,Bages,,,CAT,BCN,CC,papel,Mitjans amb PGD,"Bages: Manresa, El Pont de Vilomara, Santpedor, Artès, Monistrol de Montserrat, Súria, Navàs, Balsareny, Sant Vicenç de Castellet, Sallent, Moià, Sant Fruitós de Bages, Sant Salvador de Guardiola, Cardona, Sant Joan de Vilatorrada i Calaf.",AMIC,,,,,,,,,,,,,,,,
gente catalunya,,,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Barcelona i l'Hospitalet de Llobregat.,AMIC,,,,,,,,,,,,,,,,
groc,La Noguera,,,CAT,LL,C.PONENT,papel,Mitjans amb PGD,"La Noguera: tots els domicilis de Balaguer i a les poblacions Àger, Algerri, Bellcaire d'Urgell, Butsènit d'Urgell (Montgai), Camarasa, Castelló de Farfanya, Cubells, Gerb (Òs de Balaguer), La Fontdepou (Àger), Gerb (Òs de Balaguer) La Ràpita (Vallfogona de Balaguer), La Sentiu, Les Avellanes i Santa Linya, Menàrguens, Montgai, Os de Balaguer, Sant Llorenç de Montgai (Camarasa), Tartareu (Les Avellanes i Santa Linya), Térmens, Vallfogona de Balaguer i Vilanova de la Sal (Les Avellanes i Santa Linya).",AMIC,,,,,,,,,,,,,,,,
indicador d'economía,Totes les poblacions de Tarragona,,,CAT,BCN,AMB,papel,Mitjans amb PGD,Totes les poblacions de Tarragona. Barcelona i Madrid,AMIC,,,,,,,,,,,,,,,,
la bústia del baix llobregat,Baix Llobregat Nord,,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Baix Llobregat Nord: Martorell, Sant Andreu de la Barca, Olesa de Montserrat, Esparreguera, Abrera, Sant Esteve Sesrovires, Collbató i Castellví de Rosanes. Alt Penedès: Gelida. Anoia: Masquefa.",AMIC,,,,,,,,,,,,,,,,
la fura,"Alt Penedès, Baix Penedès, Anoia, Garraf",,,CAT,BCN,PENEDÈS,papel,Mitjans amb PGD,"Alt i Baix Penedès: Albinyana, L'Arboç, Avinyonet del Penedès,Banyeres del Penedès, Bellveí, La Bisbal del Penedès, Bonastre, Les Cabanyes, Calafell, Castellet i la Gornal, Castellví de la Marca, Cunit, Font-rubí, Gelida, La Granada, La Joncosa del Montmell (Montmell), Llorenç del Penedès, Masllorenç, Mediona, Olèrdola, Olesa de Bonesvalls, Pacs, El Pla del Penedès, Pontons, Puigdàlber, Sta Fe del Penedès, Santa Margarida i els Monjos, Sta Oliva, St Cugat Sesgarrigues, St Jaume dels Domenys, St Llorenç d'Hortons, St Martí Sarroca, St. Pere de Riudebitlles, St Quintí de Mediona, St Sadurní d'Anoia, Subirats, Torrelavit, Torrelles de Foix, el Vendrell, Vilafranca del Penedès, Vilobí del Penedès. Anoia: Cabrera d'Igualada (Cabrera d'Anoia), Capellades, els Hostalets de Pierola, La Llacuna, Masquefa, Piera, la Torre de Claramunt, Vallbona d'Anoia. Garraf: Canyelles, Cubelles, Olivella, St. Pere de Ribes i Vilanova i la Geltrú.",AMIC,,,,,,,,,,,,,,,,
la marina,Barcelona,,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Barcelona: Zona Franca, La Marina, Sants, Hostafranc, La Bordeta, Gran Via Sud (L'Hospitalet).",AMIC,,,,,,,,,,,,,,,,
el nostre muro,Comunitat Valenciana_Alacant,,,PV,AL,,papel,NO PGD,Muro de Alcoy,AMIC,,,,,,,,,,,,,,,,
"la torre de barcelona (ed. sarrià, sant gervasi i les corts)",Barcelonès,,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Barcelonès: Sarrià, Sant Gervasi i Les Corts",AMIC,,,,,,,,,,,,,,,,
la torre de barcelona - oci i cultura familiar,Barcelonès,,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Eixample dret i esquerre,AMIC,,,,,,,,,,,,,,,,
el nostre xixona,Comunitat Valenciana _ Alacant,,,PV,AL,,papel,NO PGD,Xixona,AMIC,,,,,,,,,,,,,,,,
